SP80053ControlDetailIndex,SP80053ID,SP80053ControlDetailID,SP80053ControlDetailEnhancement,SP80053ControlDetailEnhancementID,SP80053ControlDetailEnhancementTitle,SP80053ControlDetailShortTitle,SP80053ControlDetailDescription,SP80053ControlDetailAssignment,SP80053ControlDetailTier,SP80053ControlDetailDesignation,SP80053ControlDetailSupplementalGuidance,SP80053ControlDetailReference,SP80053ControlDetailPriority,SP80053ControlDetailAssurance,SP80053ControlDetailBaseline,SP80053ControlDetailBaselineMod,SP80053ControlDetailBaselineHigh,SP80053ControlIndex
766,MP-8 (4),8 (4),1,4,Classified Information,Downgrading Prior To Individual Release,The organization downgrades information system media containing classified information prior to release to individuals without required access authorizations in accordance with NSA standards and policies.,,Organization,,,,P0,0,0,0,0,109
767,MP-8a,8a,0,,,Media Downgrading Processes,The organization establishes [Assignment: organization-defined information system media downgrading process] that includes employing downgrading mechanisms with [Assignment: organization-defined strength and integrity];,Assignment: organization-defined information system media downgrading process,Organization,,,,P0,0,0,0,0,109
768,MP-8b,8b,0,,,Classification-Based Downgrading,The organization ensures that the information system media downgrading process is commensurate with the security category and/or classification level of the information to be removed and the access authorizations of the potential recipients of the downgraded information;,,Organization,,,,P0,0,0,0,0,109
769,MP-8c,8c,0,,,Media Identification,The organization identifies [Assignment: organization-defined information system media requiring downgrading].,Assignment: organization-defined information system media requiring downgrading,Organization,,,,P0,0,0,0,0,109
770,MP-8d,8d,0,,,Downgrading Implementation,The organization downgrades the identified information system media using the established process.,,Organization,,,,P0,0,0,0,0,109
773,PE-10a,10a,0,,,,The organization provides the capability of shutting off power to the information system or individual system components in emergency situations;,,Organization,,,,P1,0,0,1,1,118
774,PE-10b,10b,0,,,,The organization places emergency shutoff switches or devices in [Assignment: organization-defined location by information system or system component] to facilitate safe and easy access for personnel.,Assignment: organization-defined location by information system or system component,Organization,,,,P1,0,0,1,1,118
775,PE-10c,10c,0,,,,The organization protects emergency power shutoff capability from unauthorized activation.,,Organization,,,,P1,0,0,1,1,118
776,PE-11,11,0,,,,The organization provides a short-term uninterruptible power supply to facilitate [Selection (one or more): an orderly shutdown of the information system; transition of the information system to long-term alternate power] in the event of a primary power source loss.,Selection (one or more): an orderly shutdown of the information system; transition of the information system to long-term alternate power,Organization,,,,P1,0,0,1,1,119
777,PE-11 (1),11 (1),1,1,Long-Term Alternate Power Supply - Minimal Operational Capability,Long-Term Alternate Power Supply - Minimal Operational Capability,The organization provides a long-term alternate power supply for the information system that is capable of maintaining minimally required operational capability in the event of an extended loss of the primary power source.,,Organization,,,,P1,0,0,0,1,119
778,PE-11 (2)(a),11 (2)(a),1,(2)(a),Long-Term Alternate Power Supply - Self-Contained,Long-Term Alternate Power Supply - Self-Contained,The organization provides a long-term alternate power supply for the information system that is self-contained;,,Organization,,,,P1,0,0,0,0,119
779,PE-11 (2)(b),11 (2)(b),1,(2)(b),Long-Term Alternate Power Supply - Self-Contained,Long-Term Alternate Power Supply - Self-Contained,The organization provides a long-term alternate power supply for the information system that is not reliant on external power generation.,,Organization,,,,P1,0,0,0,0,119
780,PE-11 (2)(c),11 (2)(c),1,(2)(c),Long-Term Alternate Power Supply - Self-Contained,Long-Term Alternate Power Supply - Self-Contained,The organization provides a long-term alternate power supply for the information system that is capable of maintaining [Selection: minimally required operational capability; full operational capability] in the event of an extended loss of the primary power source.,Selection: minimally required operational capability; full operational capability,Organization,,,,P1,0,0,0,0,119
781,PE-12,12,0,,,,The organization employs and maintains automatic emergency lighting for the information system that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes within the facility.,,Organization,,,,P1,0,1,1,1,120
782,PE-12 (1),12 (1),1,1,Essential Missions / Business Functions,Essential Missions / Business Functions,The organization provides emergency lighting for all areas within the facility supporting essential missions and business functions.,,Organization,,,,P1,0,0,0,0,120
783,PE-13,13,0,,,,The organization employs and maintains fire suppression and detection devices/systems for the information system that are supported by an independent energy source.,,Organization,,,,P1,0,1,1,1,121
784,PE-13 (1),13 (1),1,1,Detection Devices / Systems,Detection Devices / Systems,The organization employs fire detection devices/systems for the information system that activate automatically and notify [Assignment: organization-defined personnel or roles] and [Assignment: organization-defined emergency responders] in the event of a fire.,Assignment: organization-defined personnel or roles,Organization,,,,P1,0,0,0,1,121
785,PE-13 (2),13 (2),1,2,Suppression Devices / Systems,Suppression Devices / Systems,The organization employs fire suppression devices/systems for the information system that provide automatic notification of any activation to Assignment: organization-defined personnel or roles] and [Assignment: organization-defined emergency responders].,,Organization,,,,P1,0,0,0,1,121
786,PE-13 (3),13 (3),1,3,Automatic Fire Suppression,Automatic Fire Suppression,The organization employs an automatic fire suppression capability for the information system when the facility is not staffed on a continuous basis.,,Organization,,,,P1,0,0,1,1,121
787,PE-13 (4),13 (4),1,4,Inspections,Inspections,The organization ensures that the facility undergoes [Assignment: organization-defined frequency] inspections by authorized and qualified inspectors and resolves identified deficiencies within [Assignment: organization-defined time period].,Assignment: organization-defined frequency,Organization,,,,P1,0,0,0,0,121
789,PE-14 (1),14 (1),1,1,Automatic Controls,Automatic Controls,The organization employs automatic temperature and humidity controls in the facility to prevent fluctuations potentially harmful to the information system.,,Organization,,,,P1,0,0,0,0,122
790,PE-14 (2),14 (2),1,2,Monitoring With Alarms / Notifications,Monitoring With Alarms / Notifications,The organization employs temperature and humidity monitoring that provides an alarm or notification of changes potentially harmful to personnel or equipment.,,Organization,,,,P1,0,0,0,0,122
791,PE-14a,14a,0,,,,The organization maintains temperature and humidity levels within the facility where the information system resides at [Assignment: organization-defined acceptable levels].,Assignment: organization-defined acceptable levels,Organization,,,,P1,0,1,1,1,122
792,PE-14b,14b,0,,,,The organization monitors temperature and humidity levels [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,0,1,1,1,122
793,PE-15,15,1,,Water Damage Protection,Water Damage Protection,"The organization protects the information system from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible, working properly, and known to key personnel.",,Organization,,,,P1,0,1,1,1,125
794,PE-15 (1),15 (1),1,1,Automation Support,Automation Support,The organization employs automated mechanisms to detect the presence of water in the vicinity of the information system and alerts [Assignment: organization-defined personnel or roles].,Assignment: organization-defined personnel or roles,Organization,,,,P1,0,0,0,1,125
795,PE-16,16,1,,Delivery And Removal,Delivery And Removal,"The organization authorizes, monitors, and controls [Assignment: organization-defined types of information system components] entering and exiting the facility and maintains records of those items.",Assignment: organization-defined types of information system components,Organization,,,,P2,0,1,1,1,125
797,PE-17a,17a,0,,,,The organization employs [Assignment: organization-defined security controls] at alternate work sites;,Assignment: organization-defined security controls,Organization,,,,P2,0,0,1,1,125
